age,sex,s,v,rs,rv,dead,vrs,sv,n
77,male,0.030182733513081,0.0053665748677183,0.4308266668,0.0,0,0,0.0001679776032028,0.5334560472159977
78,male,0.0274332234910521,0.0043599732089793,0.4390400002,0.0,0,0,0.0001235514809621,0.5290432516190062
79,male,0.024922689350949,0.0035357730172958,0.4472533335999999,0.0,0,0,9.071068764513124e-05,0.52419749334411
80,male,0.0226320207265264,0.002896161774483,0.455466667,0.0,0,0,6.726774143633026e-05,0.5189378827575541
81,male,0.0219353317370243,0.0033817379200316,0.455466667,0.0,0,0,7.611227599525513e-05,0.5191401510669488
82,male,0.0212796705006904,0.0029490478748145,0.455466667,0.0,0,0,6.431722777095966e-05,0.520240297396724
83,male,0.0206409143001847,0.0026227363459626,0.455466667,0.0,0,0,5.542821097155014e-05,0.521214254142881
84,male,0.0200187343716345,0.0024030369675011,0.455466667,0.0,0,0,4.921159157182796e-05,0.5220623500692925
85,male,0.0194148418268309,0.0021874341263515,0.455466667,0.0,0,0,4.340828970214324e-05,0.5228876487571155
86,male,0.0188322437516513,0.0017929415850218,0.455466667,0.0,0,0,3.447740451099264e-05,0.5238736702588158
87,male,0.0182638583990869,0.0015552863808601,0.455466667,0.0,0,0,2.8980743668151237e-05,0.5246852074763848
88,male,0.0177119455518551,0.0013376007453034,0.455466667,0.0,0,0,2.415218302764382e-05,0.5254596345198137
89,male,0.0171760586723861,0.0011399311618139,0.455466667,0.0,0,0,1.9945239127460806e-05,0.5261973979266724
90,male,0.0166557617739993,0.0009623216212175,0.455466667,0.0,0,0,1.6315921141592797e-05,0.5268989336836416
91,male,0.0161506292575152,0.0008048137341519,0.455466667,0.0,0,0,1.3222618432311991e-05,0.5275646673899006
92,male,0.0156602457449996,0.0006674468392439,0.455466667,0.0,0,0,1.0625992372863749e-05,0.5281950144233836
93,male,0.0151842059110923,0.0005502581071367,0.455466667,0.0,0,0,8.488872320040384e-06,0.5287903801094509
94,male,0.0147221143123485,0.0004532826404875,0.455466667,0.0,0,0,6.776155616642518e-06,0.5293511598915472
95,male,0.0142735852149884,0.0003765535700543,0.455466667,0.0,0,0,5.454711504632346e-06,0.5298777395034525
96,male,0.0138382424214279,0.0003201021469904,0.455466667,0.0,0,0,4.493288830830414e-06,0.5303704951427508
97,male,0.0134157190959367,0.0002839578314627,0.455466667,0.0,0,0,3.862427428263613e-06,0.5308297936451722
98,male,0.0130056575897456,0.0002681483777103,0.455466667,0.0,0,0,3.534373057724789e-06,0.5312559926594862
99,male,0.0126077092659041,0.0002726999156569,0.455466667,0.0,0,0,3.482995795725487e-06,0.5316494408226432
100,male,0.0122220562516026,0.0002554662669618,0.455466667,0.0,0,0,3.16178431709002e-06,0.5320526486971184
101,male,0.0118486624335459,0.0001878256027339,0.455466667,0.0,0,0,2.252600638011975e-06,0.5324945923630822
102,male,0.0114861649110014,0.0001526471766981,0.455466667,0.0,0,0,1.773980821186586e-06,0.5328927469314793
103,male,0.0111345428670868,0.0001253863726741,0.455466667,0.0,0,0,1.412021194022867e-06,0.5332719917390449
104,male,0.0107934804163131,0.0001060526202553,0.455466667,0.0,0,0,1.157292163316786e-06,0.5336326426712683
105,male,0.0104626702981586,9.46548032388464e-05,0.455466667,0.0,0,0,1.000909931792976e-06,0.5339750069886707
106,male,0.0101413722263112,0.0001342831890641,0.455466667,0.0,0,0,1.375956552693966e-06,0.5342563016280719
107,male,0.0098302672519244,0.0001312181636833,0.455466667,0.0,0,0,1.3028900349176527e-06,0.5345705446943572
108,male,0.0095285739834811,0.0001323179135448,0.455466667,0.0,0,0,1.2731019496496655e-06,0.5348711680010243
109,male,0.0092360145113194,0.0001375862564227,0.455466667,0.0,0,0,1.2827745226392654e-06,0.535158449457735
