year,age,sex,smoking,vaping
2031,108,male,0.0042968586525148,0.0002466902915606
2031,109,male,0.0041642771328703,0.0002564367192348
2032,0,male,0.0,0.0
2032,1,male,0.0,0.0
2032,2,male,0.0,0.0
2032,3,male,0.0,0.0
2032,4,male,0.0,0.0
2032,5,male,0.0,0.0
2032,6,male,0.0,0.0
2032,7,male,0.0,0.0
2032,8,male,0.0,0.0
2032,9,male,0.0,0.0
2032,10,male,0.0,0.0
2032,11,male,0.0,0.0
2032,12,male,0.0,0.0
2032,13,male,0.0,0.0
2032,14,male,0.0,0.0
2032,15,male,0.0075435307434169,0.2001078436773279
2032,16,male,0.0126469134734047,0.23891388155806
2032,17,male,0.0211293543099784,0.2695754423527125
2032,18,male,0.0325636291465136,0.3156170319233527
2032,19,male,0.049870384154493,0.3802096439418113
2032,20,male,0.0573517064834707,0.4047208994074179
2032,21,male,0.0658775259614668,0.4143917661689985
2032,22,male,0.0688868293551467,0.4092222442265529
2032,23,male,0.0720229996197381,0.3892123335800815
2032,24,male,0.0718049238661807,0.3543620342295839
2032,25,male,0.0715874574778981,0.3167791122138713
2032,26,male,0.0734643151648725,0.2795694240532151
2032,27,male,0.075386384162675,0.2585960457712667
2032,28,male,0.0757793303917495,0.240689131882776
2032,29,male,0.0761741560843924,0.2258486823877431
2032,30,male,0.0736821633543169,0.214074697286168
2032,31,male,0.0712654058033282,0.2203035163676115
2032,32,male,0.0698652882731632,0.2120362904196226
2032,33,male,0.0684906496166653,0.2055224440484269
2032,34,male,0.0664685003448427,0.2007619772540243
2032,35,male,0.0645019198371744,0.1968913990728962
2032,36,male,0.0613270574641107,0.1908632673715384
2032,37,male,0.0582987271218558,0.186489854575111
2032,38,male,0.0574018732218553,0.1818327151155991
2032,39,male,0.0565179882587282,0.1768918489930027
2032,40,male,0.0556469100354519,0.1716672562073219
2032,41,male,0.0555620559640145,0.1633405095495585
2032,42,male,0.0554773236823937,0.1580440110788513
2032,43,male,0.0553927130389562,0.1527115597656309
2032,44,male,0.0553082238821854,0.1473431556098973
2032,45,male,0.0552238560606837,0.1421317447549681
2032,46,male,0.0546096581069468,0.1349501745887644
2032,47,male,0.0540019007888996,0.1295363681900934
2032,48,male,0.0534005252191521,0.1236216874277941
2032,49,male,0.0528054728561444,0.1172061323018666
2032,50,male,0.0522166855066783,0.1102897028123108
2032,51,male,0.0521059569096484,0.098421701077686
2032,52,male,0.051995450237711,0.0912860631477205
2032,53,male,0.0518851651006676,0.0840408209975502
2032,54,male,0.0517751011087745,0.076685974627175
2032,55,male,0.0516652578727419,0.0669653926697515
2032,56,male,0.0506853253009334,0.0518613961901166
2032,57,male,0.0497230045480295,0.0437030208059718
2032,58,male,0.0487780157946133,0.0370734099036497
2032,59,male,0.0478500822774371,0.0319725634831503
2032,60,male,0.0469389303116445,0.0284004815444738
2032,61,male,0.0443750346341247,0.0343263119168416
2032,62,male,0.041945020428659,0.0324105900927166
2032,63,male,0.039642555666208,0.0313230483258674
2032,64,male,0.037461536848905,0.031063686616294
2032,65,male,0.0353960887630017,0.0317562040588767
2032,66,male,0.0331471709357393,0.0327912737977783
2032,67,male,0.0310365423974036,0.0328977026456741
2032,68,male,0.029056268172811,0.0325372373778057
2032,69,male,0.0271987978955579,0.0317098779941731
2032,70,male,0.0254569562289439,0.0304156244947762
2032,71,male,0.023113167731079,0.0256780193222594
2032,72,male,0.0209805231183751,0.0239733107882318
2032,73,male,0.0190408214706636,0.022063374736889
2032,74,male,0.0172772853364259,0.0199482111682307
2032,75,male,0.0156744757189906,0.0171425586823496
2032,76,male,0.0142117597373856,0.0128950651708682
2032,77,male,0.0128837553623594,0.0105251325787082
2032,78,male,0.0116783749830299,0.0085245837856103
2032,79,male,0.0105845585342635,0.0068934187915743
2032,80,male,0.0095921964728971,0.0056316375966005
2032,81,male,0.0092977506223934,0.0065740640395691
2032,82,male,0.0090122609524114,0.0057284440534656
2032,83,male,0.0087354600174816,0.0050909046717973
2032,84,male,0.0084670880573061,0.0046614458945642
2032,85,male,0.0082068927942605,0.0042407692359228
2032,86,male,0.007954629235092,0.003474094851
2032,87,male,0.0077100594768019,0.0030119939234836
2032,88,male,0.0074729525166944,0.0025891052592464
2032,89,male,0.0072430840665682,0.0022054288582883
2032,90,male,0.0070202363710238,0.0018609647206093
2032,91,male,0.006804198029852,0.0015557128462094
2032,92,male,0.0065947638244666,0.0012896732350886
2032,93,male,0.0063917345483412,0.0010628458872469
2032,94,male,0.0061949168414046,0.0008752308026843
2032,95,male,0.0060041230283465,0.0007268279814009
2032,96,male,0.0058191709607849,0.0006176374233965
2032,97,male,0.005639883863241,0.0005476591286713
2032,98,male,0.0054660901828669,0.0005168930972251
2032,99,male,0.0052976234428693,0.0005253393290581
2032,100,male,0.0051343220995711,0.0004918813407477
2032,101,male,0.0049760294030506,0.0003615072729319
2032,102,male,0.004822593261297,0.0002936915992863
2032,103,male,0.0046738661078208,0.0002411562228928
2032,104,male,0.0045297047726568,0.0002039011437512
2032,105,male,0.0043899703566945,0.0001819263618616
2032,106,male,0.0042545281092737,0.0002580083718711
2032,107,male,0.0041232473089816,0.0002520400755366
2032,108,male,0.0039960011475846,0.0002540750219797
2032,109,male,0.0038726666170338,0.0002641132112002
2033,0,male,0.0,0.0
2033,1,male,0.0,0.0
2033,2,male,0.0,0.0
2033,3,male,0.0,0.0
2033,4,male,0.0,0.0
2033,5,male,0.0,0.0
2033,6,male,0.0,0.0
2033,7,male,0.0,0.0
2033,8,male,0.0,0.0
2033,9,male,0.0,0.0
2033,10,male,0.0,0.0
2033,11,male,0.0,0.0
2033,12,male,0.0,0.0
2033,13,male,0.0,0.0
2033,14,male,0.0,0.0
2033,15,male,0.0070169497253047,0.2101002428934761
